lat,lng,t,f
41.89550881681165,12.472234108385749,person,10
41.89549878670894,12.472180209468702,person,10
41.89548875660465,12.472171226315862,person,10
41.89548541323621,12.472166734739439,person,10
41.89556899739486,12.472163366057123,person,10
41.89554559384146,12.472088132152079,person,10
41.895582370850086,12.472071288740501,car,10
41.89556231066619,12.472046585070188,person,10
41.8955589673016,12.472039847705558,person,10
41.89555562393682,12.472024127188085,person,10
41.895548937206755,12.472005037988298,person,10
41.89562583456025,12.472075780316922,person,10
41.89559240093968,12.47201626692935,person,10
41.895619147837536,12.47205107664661,person,10
41.89583646596743,12.472021881399874,person,10
41.89556899739486,12.47229811334974,person,20
41.89550881681165,12.472236354173958,person,20
41.89548875660465,12.472165611845334,person,20
41.89556899739486,12.472165611845334,person,20
41.89554559384146,12.472088132152079,person,20
41.895582370850086,12.472071288740501,car,20
41.89555562393682,12.472039847705558,person,20
41.89555562393682,12.472024127188085,person,20
41.895548937206755,12.472007283776508,person,20
41.89562583456025,12.472075780316922,person,20
41.89559240093968,12.47201626692935,person,20
41.895619147837536,12.472052199540714,person,20
41.89583646596743,12.472019635611664,person,20
41.89583312261719,12.472010652458824,person,20
41.895441949430484,12.472442966689306,person,30
41.89556899739486,12.472299236243847,person,30
41.89547538312982,12.472193684197963,person,30
41.89548541323621,12.472164488951229,person,30
41.89557234075893,12.472161120268913,person,30
41.89554559384146,12.472088132152079,person,30
41.895582370850086,12.472071288740501,car,30
41.89555562393682,12.472037601917348,person,30
41.89555562393682,12.472024127188085,person,30
41.89554559384146,12.472015144035243,person,30
41.89558905757665,12.472019635611664,person,30
41.89562583456025,12.472076903211027,person,30
41.895619147837536,12.472052199540714,person,30
41.89583312261719,12.472015144035243,person,30
41.89582977926677,12.472007283776508,person,30
41.89577962898948,12.471907346201151,person,30
41.895441949430484,12.472442966689306,person,40
41.89549209997293,12.472462055889094,person,40
41.89556899739486,12.472300359137952,person,40
41.89552553364601,12.472193684197963,person,40
41.89548541323621,12.472164488951229,person,40
41.89556899739486,12.472162243163018,person,40
41.89554559384146,12.472088132152079,person,40
41.895582370850086,12.472071288740501,car,40
41.89555562393682,12.472037601917348,person,40
41.895542250475984,12.472019635611664,person,40
41.89558905757665,12.472021881399874,person,40
41.89562583456025,12.472075780316922,person,40
41.895619147837536,12.472052199540714,person,40
41.89583312261719,12.472011775352929,person,40
41.89582977926677,12.472003915094193,person,40
41.89578297234252,12.471910714883466,person,40
41.895786315695396,12.471918575142201,person,40
41.89549209997293,12.472462055889094,person,50
