lat,lng,t,f
41.895361708480664,12.472417140124888,person,40
41.89566929824083,12.472000546411877,person,40
41.89569604510649,12.471908469095256,person,40
41.89572947867281,12.471903977518835,person,40
41.895361708480664,12.472418263018993,person,100
41.89566929824083,12.471999423517772,person,100
41.89562583456025,12.471857938860524,person,100
41.89569604510649,12.471908469095256,person,100
41.89572947867281,12.471903977518835,person,100
41.895361708480664,12.472416017230783,person,150
41.89566929824083,12.471999423517772,person,150
41.89562583456025,12.471857938860524,person,150
41.89569604510649,12.471908469095256,person,150
41.89572947867281,12.471903977518835,person,150
41.895361708480664,12.472416017230783,person,200
41.89567264159965,12.47212743344576,person,200
41.89566929824083,12.472001669305982,person,200
41.89569604510649,12.471908469095256,person,200
41.89572947867281,12.471903977518835,person,200
41.895361708480664,12.472418263018993,person,250
41.89566929824083,12.471999423517772,person,250
41.89562917792134,12.471855693072312,person,250
41.89569604510649,12.471908469095256,person,250
41.89572947867281,12.47190285462473,person,250
41.895365051855585,12.472414894336678,person,240
41.89566929824083,12.471999423517772,person,240
41.89569604510649,12.471908469095256,person,240
41.89572947867281,12.471903977518835,person,240
41.895365051855585,12.472412648548467,person,280
41.89566929824083,12.471998300623667,person,280
41.89569604510649,12.471908469095256,person,280
41.89572947867281,12.471903977518835,person,280
41.89536839523033,12.472409279866152,person,320
41.89566929824083,12.471997177729563,person,320
41.89569604510649,12.471908469095256,person,320
41.89572947867281,12.47190285462473,person,320
41.8953717386049,12.472407034077941,person,360
41.89567264159965,12.471993809047246,person,360
41.89569604510649,12.471908469095256,person,360
41.89572947867281,12.47190285462473,person,360
41.89536839523033,12.472408156972048,person,400
41.89567264159965,12.471993809047246,person,400
41.89569604510649,12.471908469095256,person,400
41.89572947867281,12.471901731730625,person,400
41.89569604510649,12.47190959198936,person,220
41.89573282202848,12.471901731730625,person,220
41.8953717386049,12.472407034077941,person,240
41.89569604510649,12.47190959198936,person,240
41.8953717386049,12.472404788289731,person,260
41.89567264159965,12.471993809047246,person,260
41.89537842535353,12.472396928030996,person,560
41.89567264159965,12.471993809047246,person,560
41.89569604510649,12.47191183777757,person,560
41.89573282202848,12.471901731730625,person,560
41.89537842535353,12.472394682242784,person,600
41.89567264159965,12.471992686153142,person,600
41.8956927017489,12.471912960671675,person,600
41.89573616538397,12.471900608836519,person,600
41.89537842535353,12.47239355934868,person,640
41.89567264159965,12.471993809047246,person,640
41.8956927017489,12.471914083565782,person,640
